Descrizione Campione: 
Inizio misura: 31-12-23 16:38:36
RealTime: 901
LiveTime: 900
N eventi: 425665
Calibrazione: E = 0 * C^2 + 0.0231164 * C + -1.74229
Canale	Energia	Eventi
0	-1.74229	0
1	-1.71918	0
2	-1.69606	0
3	-1.67295	1
4	-1.64983	0
5	-1.62671	0
6	-1.6036	0
7	-1.58048	0
8	-1.55736	0
9	-1.53425	0
10	-1.51113	0
11	-1.48801	0
12	-1.4649	0
13	-1.44178	0
14	-1.41866	0
15	-1.39555	0
16	-1.37243	0
17	-1.34932	0
18	-1.3262	1
19	-1.30308	0
20	-1.27997	0
21	-1.25685	0
22	-1.23373	0
23	-1.21062	0
24	-1.1875	1
25	-1.16438	0
26	-1.14127	0
27	-1.11815	0
28	-1.09503	0
29	-1.07192	0
30	-1.0488	0
31	-1.02568	0
32	-1.00257	0
33	-0.979452	0
34	-0.956336	0
35	-0.933219	0
36	-0.910103	0
37	-0.886986	0
38	-0.86387	0
39	-0.840753	0
40	-0.817637	0
41	-0.794521	0
42	-0.771404	0
43	-0.748288	0
44	-0.725171	0
45	-0.702055	0
46	-0.678938	0
47	-0.655822	0
48	-0.632705	0
49	-0.609589	0
50	-0.586473	0
51	-0.563356	0
52	-0.54024	0
53	-0.517123	0
54	-0.494007	0
55	-0.47089	0
56	-0.447774	0
57	-0.424658	0
58	-0.401541	0
59	-0.378425	0
60	-0.355308	1
61	-0.332192	0
62	-0.309075	1
63	-0.285959	0
64	-0.262842	0
65	-0.239726	0
66	-0.21661	0
67	-0.193493	0
68	-0.170377	0
69	-0.14726	0
70	-0.124144	0
71	-0.101027	0
72	-0.077911	0
73	-0.0547945	1
74	-0.0316781	2
75	-0.00856164	0
76	0.0145548	0
77	0.0376712	0
78	0.0607877	0
79	0.0839041	0
80	0.107021	0
81	0.130137	0
82	0.153253	0
83	0.17637	0
84	0.199486	0
85	0.222603	1
86	0.245719	0
87	0.268836	0
88	0.291952	1
89	0.315068	0
90	0.338185	1
91	0.361301	0
92	0.384418	0
93	0.407534	0
94	0.430651	0
95	0.453767	0
96	0.476884	0
97	0.5	0
98	0.523116	0
99	0.546233	0
100	0.569349	0
101	0.592466	0
102	0.615582	0
103	0.638699	0
104	0.661815	0
105	0.684932	1
106	0.708048	0
107	0.731164	0
108	0.754281	1
109	0.777397	1
110	0.800514	0
111	0.82363	0
112	0.846747	0
113	0.869863	0
114	0.892979	1
115	0.916096	0
116	0.939212	0
117	0.962329	0
118	0.985445	1
119	1.00856	1
120	1.03168	0
121	1.05479	0
122	1.07791	0
123	1.10103	0
124	1.12414	1
125	1.14726	0
126	1.17038	1
127	1.19349	1
128	1.21661	0
129	1.23973	0
130	1.26284	0
131	1.28596	0
132	1.30908	0
133	1.33219	0
134	1.35531	1
135	1.37842	1
136	1.40154	0
137	1.42466	0
138	1.44777	0
139	1.47089	0
140	1.49401	0
141	1.51712	0
142	1.54024	0
143	1.56336	0
144	1.58647	0
145	1.60959	0
146	1.63271	0
147	1.65582	0
148	1.67894	0
149	1.70205	0
150	1.72517	0
151	1.74829	0
152	1.7714	0
153	1.79452	0
154	1.81764	0
155	1.84075	1
156	1.86387	0
157	1.88699	0
158	1.9101	0
159	1.93322	1
160	1.95634	0
161	1.97945	0
162	2.00257	0
163	2.02568	0
164	2.0488	0
165	2.07192	0
166	2.09503	2
167	2.11815	1
168	2.14127	0
169	2.16438	0
170	2.1875	0
171	2.21062	1
172	2.23373	0
173	2.25685	0
174	2.27997	1
175	2.30308	1
176	2.3262	3
177	2.34932	2
178	2.37243	4
179	2.39555	0
180	2.41866	0
181	2.44178	2
182	2.4649	3
183	2.48801	1
184	2.51113	1
185	2.53425	0
186	2.55736	3
187	2.58048	1
188	2.6036	1
189	2.62671	1
190	2.64983	0
191	2.67295	1
192	2.69606	2
193	2.71918	2
194	2.74229	3
195	2.76541	5
196	2.78853	2
197	2.81164	2
198	2.83476	4
199	2.85788	3
200	2.88099	0
201	2.90411	1
202	2.92723	0
203	2.95034	0
204	2.97346	1
205	2.99658	2
206	3.01969	0
207	3.04281	1
208	3.06592	0
209	3.08904	5
210	3.11216	1
211	3.13527	1
212	3.15839	1
213	3.18151	4
214	3.20462	2
215	3.22774	3
216	3.25086	1
217	3.27397	3
218	3.29709	2
219	3.32021	1
220	3.34332	0
221	3.36644	1
222	3.38955	1
223	3.41267	1
224	3.43579	1
225	3.4589	0
226	3.48202	0
227	3.50514	2
228	3.52825	1
229	3.55137	0
230	3.57449	0
231	3.5976	2
232	3.62072	1
233	3.64384	3
234	3.66695	8
235	3.69007	20
236	3.71318	19
237	3.7363	24
238	3.75942	19
239	3.78253	24
240	3.80565	28
241	3.82877	17
242	3.85188	28
243	3.875	25
244	3.89812	18
245	3.92123	25
246	3.94435	19
247	3.96747	24
248	3.99058	25
249	4.0137	26
250	4.03682	21
251	4.05993	30
252	4.08305	21
253	4.10616	22
254	4.12928	24
255	4.1524	32
256	4.17551	20
257	4.19863	17
258	4.22175	9
259	4.24486	22
260	4.26798	28
261	4.2911	28
262	4.31421	28
263	4.33733	24
264	4.36045	25
265	4.38356	20
266	4.40668	26
267	4.42979	20
268	4.45291	27
269	4.47603	26
270	4.49914	18
271	4.52226	22
272	4.54538	20
273	4.56849	30
274	4.59161	22
275	4.61473	22
276	4.63784	32
277	4.66096	21
278	4.68408	27
279	4.70719	25
280	4.73031	17
281	4.75342	27
282	4.77654	27
283	4.79966	24
284	4.82277	29
285	4.84589	26
286	4.86901	20
287	4.89212	28
288	4.91524	24
289	4.93836	34
290	4.96147	30
291	4.98459	19
292	5.00771	27
293	5.03082	36
294	5.05394	28
295	5.07705	30
296	5.10017	29
297	5.12329	22
298	5.1464	27
299	5.16952	19
300	5.19264	29
301	5.21575	27
302	5.23887	22
303	5.26199	24
304	5.2851	27
305	5.30822	26
306	5.33134	16
307	5.35445	18
308	5.37757	35
309	5.40068	29
310	5.4238	24
311	5.44692	25
312	5.47003	22
313	5.49315	21
314	5.51627	25
315	5.53938	27
316	5.5625	34
317	5.58562	29
318	5.60873	26
319	5.63185	18
320	5.65497	27
321	5.67808	23
322	5.7012	32
323	5.72432	24
324	5.74743	25
325	5.77055	25
326	5.79366	26
327	5.81678	33
328	5.8399	37
329	5.86301	21
330	5.88613	29
331	5.90925	21
332	5.93236	22
333	5.95548	15
334	5.9786	28
335	6.00171	18
336	6.02483	21
337	6.04795	21
338	6.07106	23
339	6.09418	20
340	6.11729	33
341	6.14041	24
342	6.16353	32
343	6.18664	18
344	6.20976	30
345	6.23288	33
346	6.25599	21
347	6.27911	17
348	6.30223	23
349	6.32534	23
350	6.34846	22
351	6.37158	27
352	6.39469	24
353	6.41781	19
354	6.44092	15
355	6.46404	19
356	6.48716	26
357	6.51027	22
358	6.53339	30
359	6.55651	25
360	6.57962	31
361	6.60274	18
362	6.62586	19
363	6.64897	18
364	6.67209	28
365	6.69521	17
366	6.71832	23
367	6.74144	18
368	6.76455	25
369	6.78767	19
370	6.81079	27
371	6.8339	17
372	6.85702	24
373	6.88014	18
374	6.90325	19
375	6.92637	19
376	6.94949	16
377	6.9726	16
378	6.99572	16
379	7.01884	22
380	7.04195	21
381	7.06507	18
382	7.08818	27
383	7.1113	25
384	7.13442	21
385	7.15753	23
386	7.18065	20
387	7.20377	16
388	7.22688	22
389	7.25	25
390	7.27312	23
391	7.29623	19
392	7.31935	21
393	7.34247	20
394	7.36558	20
395	7.3887	13
396	7.41182	25
397	7.43493	25
398	7.45805	16
399	7.48116	17
400	7.50428	14
401	7.5274	23
402	7.55051	22
403	7.57363	25
404	7.59675	16
405	7.61986	23
406	7.64298	13
407	7.6661	22
408	7.68921	23
409	7.71233	23
410	7.73545	21
411	7.75856	21
412	7.78168	17
413	7.80479	22
414	7.82791	22
415	7.85103	20
416	7.87414	24
417	7.89726	12
418	7.92038	26
419	7.94349	16
420	7.96661	21
421	7.98973	17
422	8.01284	17
423	8.03596	19
424	8.05908	26
425	8.08219	21
426	8.10531	20
427	8.12842	22
428	8.15154	19
429	8.17466	13
430	8.19777	18
431	8.22089	20
432	8.24401	30
433	8.26712	20
434	8.29024	16
435	8.31336	15
436	8.33647	15
437	8.35959	28
438	8.38271	17
439	8.40582	19
440	8.42894	16
441	8.45205	22
442	8.47517	23
443	8.49829	17
444	8.5214	18
445	8.54452	22
446	8.56764	18
447	8.59075	24
448	8.61387	19
449	8.63699	20
450	8.6601	18
451	8.68322	13
452	8.70634	20
453	8.72945	25
454	8.75257	25
455	8.77568	23
456	8.7988	23
457	8.82192	22
458	8.84503	16
459	8.86815	16
460	8.89127	23
461	8.91438	20
462	8.9375	26
463	8.96062	31
464	8.98373	27
465	9.00685	18
466	9.02997	24
467	9.05308	32
468	9.0762	17
469	9.09932	31
470	9.12243	29
471	9.14555	18
472	9.16866	27
473	9.19178	24
474	9.2149	27
475	9.23801	21
476	9.26113	18
477	9.28425	22
478	9.30736	34
479	9.33048	30
480	9.3536	29
481	9.37671	25
482	9.39983	17
483	9.42295	26
484	9.44606	22
485	9.46918	18
486	9.49229	33
487	9.51541	18
488	9.53853	25
489	9.56164	29
490	9.58476	19
491	9.60788	30
492	9.63099	30
493	9.65411	27
494	9.67723	35
495	9.70034	32
496	9.72346	32
497	9.74658	33
498	9.76969	31
499	9.79281	32
500	9.81592	33
501	9.83904	41
502	9.86216	23
503	9.88527	28
504	9.90839	35
505	9.93151	31
506	9.95462	34
507	9.97774	29
508	10.0009	29
509	10.024	34
510	10.0471	33
511	10.0702	35
512	10.0933	33
513	10.1164	42
514	10.1396	38
515	10.1627	41
516	10.1858	42
517	10.2089	43
518	10.232	33
519	10.2551	34
520	10.2783	42
521	10.3014	41
522	10.3245	48
523	10.3476	42
524	10.3707	27
525	10.3938	50
526	10.417	50
527	10.4401	38
528	10.4632	47
529	10.4863	41
530	10.5094	58
531	10.5325	46
532	10.5557	48
533	10.5788	41
534	10.6019	62
535	10.625	49
536	10.6481	57
537	10.6712	47
538	10.6943	36
539	10.7175	44
540	10.7406	57
541	10.7637	52
542	10.7868	50
543	10.8099	78
544	10.833	55
545	10.8562	48
546	10.8793	57
547	10.9024	49
548	10.9255	59
549	10.9486	66
550	10.9717	60
551	10.9949	53
552	11.018	62
553	11.0411	43
554	11.0642	64
555	11.0873	48
556	11.1104	67
557	11.1336	77
558	11.1567	78
559	11.1798	67
560	11.2029	66
561	11.226	74
562	11.2491	82
563	11.2723	80
564	11.2954	71
565	11.3185	78
566	11.3416	89
567	11.3647	78
568	11.3878	67
569	11.411	81
570	11.4341	80
571	11.4572	75
572	11.4803	65
573	11.5034	75
574	11.5265	61
575	11.5497	90
576	11.5728	61
577	11.5959	91
578	11.619	77
579	11.6421	93
580	11.6652	91
581	11.6884	94
582	11.7115	76
583	11.7346	88
584	11.7577	81
585	11.7808	97
586	11.8039	85
587	11.8271	89
588	11.8502	104
589	11.8733	112
590	11.8964	98
591	11.9195	105
592	11.9426	104
593	11.9658	104
594	11.9889	100
595	12.012	90
596	12.0351	97
597	12.0582	92
598	12.0813	101
599	12.1045	105
600	12.1276	114
601	12.1507	115
602	12.1738	100
603	12.1969	107
