Descrizione Campione: 
Inizio misura: 29-12-23 10:05:48
RealTime: 901
LiveTime: 900
N eventi: 429130
Calibrazione: E = 0 * C^2 + 0.0231164 * C + -1.74229
Canale	Energia	Eventi
0	-1.74229	0
1	-1.71918	0
2	-1.69606	0
3	-1.67295	0
4	-1.64983	0
5	-1.62671	0
6	-1.6036	0
7	-1.58048	0
8	-1.55736	1
9	-1.53425	0
10	-1.51113	0
11	-1.48801	0
12	-1.4649	0
13	-1.44178	0
14	-1.41866	0
15	-1.39555	0
16	-1.37243	0
17	-1.34932	0
18	-1.3262	0
19	-1.30308	0
20	-1.27997	0
21	-1.25685	0
22	-1.23373	0
23	-1.21062	0
24	-1.1875	0
25	-1.16438	0
26	-1.14127	0
27	-1.11815	0
28	-1.09503	0
29	-1.07192	0
30	-1.0488	0
31	-1.02568	0
32	-1.00257	0
33	-0.979452	0
34	-0.956336	0
35	-0.933219	0
36	-0.910103	1
37	-0.886986	0
38	-0.86387	0
39	-0.840753	0
40	-0.817637	0
41	-0.794521	0
42	-0.771404	0
43	-0.748288	0
44	-0.725171	0
45	-0.702055	0
46	-0.678938	0
47	-0.655822	0
48	-0.632705	0
49	-0.609589	0
50	-0.586473	0
51	-0.563356	0
52	-0.54024	0
53	-0.517123	0
54	-0.494007	0
55	-0.47089	0
56	-0.447774	0
57	-0.424658	1
58	-0.401541	0
59	-0.378425	1
60	-0.355308	0
61	-0.332192	0
62	-0.309075	0
63	-0.285959	0
64	-0.262842	0
65	-0.239726	0
66	-0.21661	0
67	-0.193493	0
68	-0.170377	0
69	-0.14726	0
70	-0.124144	0
71	-0.101027	1
72	-0.077911	0
73	-0.0547945	0
74	-0.0316781	0
75	-0.00856164	0
76	0.0145548	0
77	0.0376712	0
78	0.0607877	0
79	0.0839041	0
80	0.107021	0
81	0.130137	0
82	0.153253	0
83	0.17637	0
84	0.199486	0
85	0.222603	0
86	0.245719	0
87	0.268836	0
88	0.291952	0
89	0.315068	0
90	0.338185	0
91	0.361301	0
92	0.384418	0
93	0.407534	0
94	0.430651	0
95	0.453767	1
96	0.476884	0
97	0.5	0
98	0.523116	0
99	0.546233	0
100	0.569349	0
101	0.592466	0
102	0.615582	0
103	0.638699	0
104	0.661815	0
105	0.684932	0
106	0.708048	0
107	0.731164	0
108	0.754281	0
109	0.777397	0
110	0.800514	0
111	0.82363	0
112	0.846747	0
113	0.869863	1
114	0.892979	0
115	0.916096	0
116	0.939212	0
117	0.962329	0
118	0.985445	1
119	1.00856	0
120	1.03168	0
121	1.05479	0
122	1.07791	0
123	1.10103	0
124	1.12414	0
125	1.14726	0
126	1.17038	1
127	1.19349	0
128	1.21661	0
129	1.23973	0
130	1.26284	0
131	1.28596	0
132	1.30908	0
133	1.33219	0
134	1.35531	0
135	1.37842	0
136	1.40154	0
137	1.42466	1
138	1.44777	0
139	1.47089	0
140	1.49401	0
141	1.51712	0
142	1.54024	0
143	1.56336	0
144	1.58647	0
145	1.60959	0
146	1.63271	1
147	1.65582	0
148	1.67894	1
149	1.70205	0
150	1.72517	0
151	1.74829	1
152	1.7714	0
153	1.79452	0
154	1.81764	0
155	1.84075	0
156	1.86387	0
157	1.88699	0
158	1.9101	0
159	1.93322	0
160	1.95634	1
161	1.97945	0
162	2.00257	0
163	2.02568	1
164	2.0488	0
165	2.07192	1
166	2.09503	0
167	2.11815	0
168	2.14127	1
169	2.16438	3
170	2.1875	0
171	2.21062	1
172	2.23373	0
173	2.25685	0
174	2.27997	1
175	2.30308	1
176	2.3262	0
177	2.34932	0
178	2.37243	0
179	2.39555	1
180	2.41866	0
181	2.44178	0
182	2.4649	2
183	2.48801	0
184	2.51113	1
185	2.53425	3
186	2.55736	1
187	2.58048	4
188	2.6036	4
189	2.62671	2
190	2.64983	1
191	2.67295	2
192	2.69606	0
193	2.71918	0
194	2.74229	0
195	2.76541	2
196	2.78853	1
197	2.81164	2
198	2.83476	5
199	2.85788	1
200	2.88099	2
201	2.90411	1
202	2.92723	3
203	2.95034	0
204	2.97346	3
205	2.99658	2
206	3.01969	0
207	3.04281	0
208	3.06592	1
209	3.08904	1
210	3.11216	2
211	3.13527	5
212	3.15839	2
213	3.18151	0
214	3.20462	1
215	3.22774	1
216	3.25086	3
217	3.27397	1
218	3.29709	3
219	3.32021	3
220	3.34332	1
221	3.36644	2
222	3.38955	2
223	3.41267	0
224	3.43579	1
225	3.4589	2
226	3.48202	1
227	3.50514	0
228	3.52825	1
229	3.55137	1
230	3.57449	1
231	3.5976	0
232	3.62072	2
233	3.64384	0
234	3.66695	2
235	3.69007	8
236	3.71318	10
237	3.7363	20
238	3.75942	20
239	3.78253	21
240	3.80565	29
241	3.82877	27
242	3.85188	20
243	3.875	15
244	3.89812	26
245	3.92123	23
246	3.94435	27
247	3.96747	31
248	3.99058	31
249	4.0137	25
250	4.03682	22
251	4.05993	24
252	4.08305	16
253	4.10616	33
254	4.12928	25
255	4.1524	23
256	4.17551	23
257	4.19863	21
258	4.22175	21
259	4.24486	26
260	4.26798	21
261	4.2911	22
262	4.31421	21
263	4.33733	24
264	4.36045	19
265	4.38356	33
266	4.40668	25
267	4.42979	23
268	4.45291	32
269	4.47603	25
270	4.49914	29
271	4.52226	31
272	4.54538	16
273	4.56849	30
274	4.59161	28
275	4.61473	31
276	4.63784	26
277	4.66096	19
278	4.68408	30
279	4.70719	22
280	4.73031	26
281	4.75342	25
282	4.77654	20
283	4.79966	31
284	4.82277	27
285	4.84589	28
286	4.86901	22
287	4.89212	23
288	4.91524	29
289	4.93836	24
290	4.96147	23
291	4.98459	33
292	5.00771	32
293	5.03082	30
294	5.05394	22
295	5.07705	30
296	5.10017	37
297	5.12329	25
298	5.1464	31
299	5.16952	24
300	5.19264	29
301	5.21575	29
302	5.23887	26
303	5.26199	21
304	5.2851	18
305	5.30822	29
306	5.33134	24
307	5.35445	30
308	5.37757	23
309	5.40068	26
310	5.4238	23
311	5.44692	22
312	5.47003	23
313	5.49315	20
314	5.51627	20
315	5.53938	31
316	5.5625	23
317	5.58562	21
318	5.60873	20
319	5.63185	31
320	5.65497	25
321	5.67808	27
322	5.7012	24
323	5.72432	19
324	5.74743	19
325	5.77055	19
326	5.79366	25
327	5.81678	26
328	5.8399	40
329	5.86301	30
330	5.88613	21
331	5.90925	18
332	5.93236	24
333	5.95548	25
334	5.9786	21
335	6.00171	28
336	6.02483	21
337	6.04795	26
338	6.07106	25
339	6.09418	24
340	6.11729	20
341	6.14041	21
342	6.16353	16
343	6.18664	27
344	6.20976	23
345	6.23288	24
346	6.25599	24
347	6.27911	20
348	6.30223	28
349	6.32534	29
350	6.34846	21
351	6.37158	27
352	6.39469	20
353	6.41781	19
354	6.44092	19
355	6.46404	21
356	6.48716	22
357	6.51027	16
358	6.53339	22
359	6.55651	23
360	6.57962	21
361	6.60274	26
362	6.62586	18
363	6.64897	23
364	6.67209	22
365	6.69521	24
366	6.71832	22
367	6.74144	22
368	6.76455	23
369	6.78767	23
370	6.81079	21
371	6.8339	27
372	6.85702	25
373	6.88014	16
374	6.90325	37
375	6.92637	25
376	6.94949	20
377	6.9726	19
378	6.99572	27
379	7.01884	28
380	7.04195	27
381	7.06507	13
382	7.08818	22
383	7.1113	21
384	7.13442	17
385	7.15753	23
386	7.18065	24
387	7.20377	15
388	7.22688	22
389	7.25	17
390	7.27312	15
391	7.29623	22
392	7.31935	18
393	7.34247	22
394	7.36558	20
395	7.3887	22
396	7.41182	19
397	7.43493	23
398	7.45805	17
399	7.48116	16
400	7.50428	17
401	7.5274	17
402	7.55051	20
403	7.57363	20
404	7.59675	26
405	7.61986	21
406	7.64298	15
407	7.6661	18
408	7.68921	17
409	7.71233	21
410	7.73545	23
411	7.75856	28
412	7.78168	26
413	7.80479	21
414	7.82791	14
415	7.85103	22
416	7.87414	24
417	7.89726	25
418	7.92038	17
419	7.94349	25
420	7.96661	19
421	7.98973	22
422	8.01284	28
423	8.03596	11
424	8.05908	25
425	8.08219	15
426	8.10531	18
427	8.12842	20
428	8.15154	14
429	8.17466	19
430	8.19777	21
431	8.22089	23
432	8.24401	20
433	8.26712	21
434	8.29024	18
435	8.31336	23
436	8.33647	21
437	8.35959	23
438	8.38271	20
439	8.40582	26
440	8.42894	17
441	8.45205	23
442	8.47517	27
443	8.49829	25
444	8.5214	16
445	8.54452	19
446	8.56764	15
447	8.59075	13
448	8.61387	27
449	8.63699	23
450	8.6601	29
451	8.68322	21
452	8.70634	17
453	8.72945	18
454	8.75257	30
455	8.77568	24
456	8.7988	25
457	8.82192	17
458	8.84503	28
459	8.86815	26
460	8.89127	27
461	8.91438	22
462	8.9375	23
463	8.96062	27
464	8.98373	19
465	9.00685	19
466	9.02997	19
467	9.05308	24
468	9.0762	15
469	9.09932	25
470	9.12243	25
471	9.14555	22
472	9.16866	23
473	9.19178	28
474	9.2149	27
475	9.23801	31
476	9.26113	16
477	9.28425	18
478	9.30736	30
479	9.33048	24
480	9.3536	22
481	9.37671	37
482	9.39983	21
483	9.42295	25
484	9.44606	29
485	9.46918	26
486	9.49229	28
487	9.51541	28
488	9.53853	35
489	9.56164	20
490	9.58476	29
491	9.60788	33
492	9.63099	25
493	9.65411	29
494	9.67723	34
495	9.70034	26
496	9.72346	30
497	9.74658	23
498	9.76969	42
499	9.79281	33
500	9.81592	19
501	9.83904	25
502	9.86216	25
503	9.88527	35
504	9.90839	36
505	9.93151	36
506	9.95462	37
507	9.97774	33
508	10.0009	30
509	10.024	37
510	10.0471	30
511	10.0702	36
512	10.0933	39
513	10.1164	28
514	10.1396	37
515	10.1627	25
516	10.1858	42
517	10.2089	45
518	10.232	38
519	10.2551	36
520	10.2783	41
521	10.3014	48
522	10.3245	43
523	10.3476	40
524	10.3707	44
525	10.3938	38
526	10.417	47
527	10.4401	46
528	10.4632	56
529	10.4863	36
530	10.5094	39
531	10.5325	38
532	10.5557	53
533	10.5788	36
534	10.6019	48
535	10.625	48
536	10.6481	52
537	10.6712	64
538	10.6943	41
539	10.7175	64
540	10.7406	59
541	10.7637	56
542	10.7868	55
543	10.8099	53
544	10.833	64
545	10.8562	72
546	10.8793	54
547	10.9024	66
548	10.9255	71
549	10.9486	54
550	10.9717	67
551	10.9949	64
552	11.018	62
553	11.0411	73
554	11.0642	60
555	11.0873	61
556	11.1104	71
557	11.1336	70
558	11.1567	75
559	11.1798	81
560	11.2029	80
561	11.226	70
562	11.2491	72
563	11.2723	82
564	11.2954	74
565	11.3185	56
566	11.3416	90
567	11.3647	89
568	11.3878	76
569	11.411	75
570	11.4341	82
571	11.4572	81
572	11.4803	80
573	11.5034	81
574	11.5265	85
575	11.5497	80
576	11.5728	94
577	11.5959	90
578	11.619	95
579	11.6421	92
580	11.6652	109
581	11.6884	104
582	11.7115	85
583	11.7346	88
584	11.7577	97
585	11.7808	99
586	11.8039	85
587	11.8271	106
588	11.8502	100
589	11.8733	102
590	11.8964	104
591	11.9195	115
592	11.9426	111
593	11.9658	117
594	11.9889	114
595	12.012	128
596	12.0351	105
597	12.0582	112
598	12.0813	106
599	12.1045	118
600	12.1276	150
601	12.1507	125
602	12.1738	111
603	12.1969	147
